Title,Price,Link
Like New - Retro Yellow Accent Chair w/ Ottoman - Price Lowered!,$275,https://newyork.craigslist.org/brk/fuo/d/brooklyn-like-new-retro-yellow-accent/7443796990.html
Clothes garment rack,$45,https://newyork.craigslist.org/brk/fuo/d/brooklyn-clothes-garment-rack/7443022059.html
Over the door shelves,$30,https://newyork.craigslist.org/brk/fuo/d/brooklyn-over-the-door-shelves/7443035732.html
Black wooden shelf/TV stand,$50,https://newyork.craigslist.org/brk/fuo/d/brooklyn-black-wooden-shelf-tv-stand/7438079487.html
TV Stand,$10,https://newyork.craigslist.org/jsy/fuo/d/newark-tv-stand/7445563022.html
Vintage wooden folding table 20 x 19 x 19”. Excellent condition.,$50,https://newyork.craigslist.org/wch/fuo/d/tuckahoe-vintage-wooden-folding-table/7439607802.html
Bakers/wine rack w storage,$49,https://newyork.craigslist.org/wch/fuo/d/white-plains-bakers-wine-rack-storage/7444379764.html
Glass top end tables,,https://newyork.craigslist.org/wch/fuo/d/white-plains-glass-top-end-tables/7444380197.html
Hand painted and stenciled cabinet,$175,https://newyork.craigslist.org/wch/fuo/d/tuckahoe-hand-painted-and-stenciled/7441671316.html
QUEEN BED FRAME--Solid Pine,$550,https://newyork.craigslist.org/mnh/fuo/d/new-york-queen-bed-frame-solid-pine/7442933688.html
Pottery barn storage twin bed,,https://newyork.craigslist.org/wch/fuo/d/chappaqua-pottery-barn-storage-twin-bed/7444297155.html
BRAND NEW SOLID WOOD QUEEN LOFT BED,$599,https://newyork.craigslist.org/mnh/fuo/d/new-york-brand-new-solid-wood-queen/7442433120.html
Wooden pink swivel office chair,$40,https://newyork.craigslist.org/wch/fuo/d/yonkers-wooden-pink-swivel-office-chair/7442188378.html
West Elm Slope Dining Chair,$150,https://newyork.craigslist.org/mnh/fuo/d/new-york-west-elm-slope-dining-chair/7445561735.html
SOFA & LOVESEAT —LIKE NEW —MUST SELL !!!! BEST OFFER !!!,$725,https://newyork.craigslist.org/que/fuo/d/massapequa-park-sofa-loveseat-like-new/7442430709.html
Moving,$200,https://newyork.craigslist.org/mnh/fuo/d/new-york-moving/7445561370.html
Brand new reclaimed wood farm dining table,$895,https://newyork.craigslist.org/mnh/fuo/d/new-york-brand-new-reclaimed-wood-farm/7440925329.html
Solid wood chair hand-painted and decorated,$195,https://newyork.craigslist.org/wch/fuo/d/tuckahoe-solid-wood-chair-hand-painted/7442067837.html
Lime Green Adjustable Height Swivel Counter Stool with stainless steel base,$125,https://newyork.craigslist.org/wch/fuo/d/tuckahoe-lime-green-adjustable-height/7443069777.html
Marie Albert Vintage Extendable Dining Table (Was 4000),"$1,216",https://newyork.craigslist.org/mnh/fud/d/new-york-marie-albert-vintage/7445562681.html
ABC Home - New York Sedia Dining Bench with Arms,$849,https://newyork.craigslist.org/brk/fuo/d/brooklyn-abc-home-new-york-sedia-dining/7445560763.html
Stanley Olé Yellow Cabinet 1960s - 1970s,$250,https://newyork.craigslist.org/brk/fuo/d/brooklyn-stanley-ol-yellow-cabinet/7442165426.html
"Recliner - ProLounger RCL89-SM SmartHome Recliner, Blue",$259,https://newyork.craigslist.org/mnh/fuo/d/new-york-recliner-prolounger-rcl89-sm/7445560567.html
Hand painted and decorated solid wood chair,$215,https://newyork.craigslist.org/wch/fuo/d/tuckahoe-hand-painted-and-decorated/7442462690.html
Wall Shelf Supports/Holders [Set of 4],$15,https://newyork.craigslist.org/mnh/fuo/d/new-york-wall-shelf-supports-holders/7443557338.html
Dining table and chairs,$100,https://newyork.craigslist.org/que/fuo/d/howard-beach-dining-table-and-chairs/7445560309.html
TOV Furniture Pasha Grey Acrylic Designer Chair,$70,https://newyork.craigslist.org/mnh/fuo/d/new-york-tov-furniture-pasha-grey/7444541169.html
Rodnick Amber Shade Bronze-Rubbed Torchiere Floor Lamp,$60,https://newyork.craigslist.org/mnh/fuo/d/new-york-rodnick-amber-shade-bronze/7444541578.html
Artisan & Post Landscape Solid Mahogany Mirror [Extra Large],$150,https://newyork.craigslist.org/mnh/fuo/d/new-york-artisan-post-landscape-solid/7442739908.html
B&B Italia Credenza  - 2000K PRICE DROP now $2500!,"$2,500",https://newyork.craigslist.org/mnh/fuo/d/new-york-bb-italia-credenza-price-drop/7445560189.html
Artisan Brand High-End XL Wide Wood Mirror,$150,https://newyork.craigslist.org/mnh/fuo/d/new-york-artisan-brand-high-end-xl-wide/7442739918.html
Pottery Barn Monique Stacked Table Lamp,$50,https://newyork.craigslist.org/mnh/fuo/d/new-york-pottery-barn-monique-stacked/7442739946.html
Koleman Adjustable Floor Lamp (Custom-Built) [New],$130,https://newyork.craigslist.org/mnh/fuo/d/new-york-koleman-adjustable-floor-lamp/7440789482.html
Ario Dual LED High-End Adjustable Floor Lamp ($399 online!),$180,https://newyork.craigslist.org/mnh/fuo/d/new-york-ario-dual-led-high-end/7440789595.html
Commercial-Grade Wire Shelving Unit Organizer with Interlocking Wheels,$70,https://newyork.craigslist.org/mnh/fuo/d/new-york-commercial-grade-wire-shelving/7443830402.html
Eames walnut stool Shape B,$800,https://newyork.craigslist.org/mnh/fuo/d/new-york-eames-walnut-stool-shape/7445559552.html
Ceiling lamp,$30,https://newyork.craigslist.org/mnh/fuo/d/new-york-ceiling-lamp/7433654769.html
CB2 Burano White Leather Sling Chairs (set of 2),$600,https://newyork.craigslist.org/brk/fuo/d/brooklyn-cb2-burano-white-leather-sling/7445559303.html
Moving,$50,https://newyork.craigslist.org/mnh/fuo/d/new-york-moving/7445559254.html
Modern contemporary luxury Table lamp,$65,https://newyork.craigslist.org/mnh/fuo/d/new-york-modern-contemporary-luxury/7433654686.html
"Lamps Pair 28 inches high - Flowers, ""Les Fleurs""",$295,https://newyork.craigslist.org/fct/fuo/d/lamps-pair-28-inches-high-flowers-les/7443281240.html
White Bookcase 3-Shelf DEAL!,$45,https://newyork.craigslist.org/fct/fuo/d/greenwich-white-bookcase-shelf-deal/7444609473.html
Copper towel /wine rack,$20,https://newyork.craigslist.org/mnh/fuo/d/new-york-copper-towel-wine-rack/7435461201.html
